VRM,OfferDate,Condition,Age,Mileage,PreviousOwners,ServiceHistory,Make,Model,TransmissionType,FuelType,Colour,BodyType,TradeValuation1,CompetitorB,CompetitorC
X6JKT,2021-04-06,good,11,130000,3,full,BMW,5 Series,,,Grey,,3932,3054,3243
KP09FVE,2021-04-06,average,11.9,65000,2,partial,Mercedes-Benz,B Class,,,Blue,,2412,2070,2091
NX63VPW,2021-04-06,good,7.6,30000,0,full,Volkswagen,up!,,,Blue,,2861,2545,2843
FE13UZD,2021-04-06,good,8,38500,2,partial,Nissan,Qashqai+2,,,White,,5973,5309,6204
HY10UND,2021-04-06,good,8.1,82000,4,partial,Hyundai,Santa Fe,,,Orange,,8729,8620,7708
RJ60JVT,2021-04-06,good,6.5,80000,2,full,Volkswagen,up!,,,Blue,,2347,2200,2303
L88JFH,2021-04-06,good,6.5,63000,2,partial,Jaguar,XF,,,White,,8692,8933,8272
AV04DJO,2021-04-06,average,6.1,48000,1,partial,Renault,Clio,,,Grey,,3792,3476,3337
RE09WVG,2021-04-06,average,11.8,155000,2,partial,Ford,Fiesta,,,Red,,515,439,634
RO57LFR,2021-04-06,poor,13.6,89000,1,full,Volkswagen,Golf,,,Grey,,1378,921,1010
DG64PHJ,2021-04-06,good,6.6,63000,2,partial,Audi,A7,,,Black,,13809,13545,11045
BJ16NPY,2021-04-06,poor,5,60000,0,partial,Ford,Focus,,,Red,,5264,4363,3854
VE62YAV,2021-04-06,poor,8.3,41000,2,full,Nissan,Juke,,,Grey,,4075,3140,2984
NX63ACZ,2021-04-06,good,7.5,70040,2,full,SEAT,Leon,,,Red,,5551,4702,4676
S31PSR,2021-04-06,excellent,11.4,85000,1,full,Mercedes-Benz,E Class,,,White,,3994,4595,4253
YC11JXM,2021-04-06,average,9.8,79000,3,full,Land Rover,Range Rover,,,Black,,12011,11211,10011
EK09TLF,2021-04-06,average,12,102000,1,partial,Honda,CR-V,,,Silver,,2474,1836,2162
AV12XWH,2021-04-06,good,8.8,82000,2,full,Volkswagen,Passat,,,Grey,,3166,2559,2867
SH13VXJ,2021-04-06,good,7.9,49800,1,none,Chrysler,Ypsilon,,,Red,,1348,793,1339
